SR,DEW,TEM,TEM_MAX,TEM_MIN,WS_MAX,WS_MIN,WS,RH,RF
10.06,22.9,7.16,29.38,22.22,2.42,1.19,1.23,88,6.55
8.19,23.37,7.26,29.69,22.44,2.04,0.29,1.75,88.12,21.72
14.74,23.55,3.55,27.14,23.6,1.47,0.46,1.02,90.88,31.17
17.46,23.54,5.43,28.95,23.51,2.06,0.85,1.21,87.88,10.03
18.01,23.05,5.2,28.45,23.26,2.66,0.91,1.75,84.94,4.59
15.63,23.17,5.62,29.04,23.41,2.34,0.54,1.8,83.69,15.47
14.3,23.26,3.95,27.54,23.58,1.96,0.74,1.22,88.25,25.39
10.94,22.43,4.23,28.01,23.78,1.01,0.16,0.85,82.19,9.39
19.47,22.78,5.79,29.15,23.37,1.1,0.64,0.46,83.38,5.62
20.43,23.18,7.59,30.59,22.99,1.12,0.41,0.7,82.56,0.33
17.66,23.38,6.52,30.19,23.67,1.33,0.54,0.78,83.06,0.99
21.05,23.14,5.72,29.76,24.04,1.19,0.29,0.9,82.38,0.77
17.37,23.37,5.59,29.56,23.98,1.54,0.7,0.84,84,1.58
20.16,23.53,5.27,29.52,24.26,1.55,0.77,0.78,84.62,1.77
20.79,22.92,6.3,29.93,23.63,1.3,0.77,0.53,82.06,2.96
19.82,23.15,6.3,29.11,22.8,1.8,1.04,0.77,86.81,8.21
18.15,23.26,4.58,27.82,23.24,1.45,0.34,1.1,88.75,9.83
20.62,23.1,6.48,29.53,23.05,1.49,0.1,1.4,85.31,18.94
11.84,23.4,4.55,27.58,23.03,1.14,0.4,0.74,90.19,53.74
12.65,23.33,4.78,28.37,23.58,1.54,0.59,0.95,88.75,61.66
13.64,23.24,4.94,28.01,23.07,1.71,0.74,0.97,88.69,18.16
16.21,23.11,5.76,28.67,22.91,2.11,1.01,1.1,88,7.22
9.91,23.14,5.29,28.28,22.99,1.56,0.73,0.83,88.38,15.38
9.76,23.08,3.78,26.71,22.93,1.54,0.77,0.77,90.88,29.19
7.84,23.03,5.26,27.98,22.73,2.32,1,1.32,89.38,5.88
13.3,22.86,5.86,29.1,23.24,1.48,0.52,0.95,85.19,5.34
14.53,22.35,5.97,28.38,22.41,2.42,1.02,1.4,86.44,1.92
19.47,21.62,7.55,28.98,21.44,2.05,0.88,1.17,83.62,0.77
20.43,21.43,8.46,29.91,21.45,1.66,0.35,1.3,80.56,0.16
18.64,22.05,6.73,29.13,22.4,1.55,0.45,1.1,82.62,1.36
17.68,22.12,4.44,27.33,22.89,1.53,0.41,1.12,85.06,6.32
16.12,21.88,5.13,28.06,22.93,1.3,0.17,1.12,82.56,3.47
17.12,21.93,7.25,29.83,22.58,0.98,0.33,0.66,79.62,2.96
19.99,22.69,6.35,29.63,23.28,1.38,0.15,1.23,81.75,2.49
18.5,23.23,6.63,29.93,23.3,1.53,0.26,1.27,82.75,6.07
19.83,23.36,7.01,30.38,23.37,1.52,0.66,0.87,84.31,2.91
20.92,22.96,7.38,30.54,23.15,1.43,0.94,0.49,82.19,0.66
21.73,22.9,6.83,29.94,23.12,1.43,0.73,0.7,82.75,0.22
